Museum,Condition,AbsCoefFloor,AbsCoefCeiling,AbsCoefWalls,AbsAreaTotal,AbsAreaFloor,AbsAreaCeiling,AbsAreaWall,RT63,RT125,RT250,RT500,RT1K,RT2K,RT4K,RT8K,RTAverage,C63,C125,C250,C50,C1K,C2K,C4K,C8K,Caverage,STIrefpos,STI2,STI4,STI6,STI8,STI10,STI12,STI14,STIAverage,STITreble,rd,D2s,Lpas4,rc,Volume
M12,CL,0.062,0.01,0.01,20.35098,15.37538,3.2296,1.746,1.6525,2.4475,3.805,3.26875,3.055,2.49375,1.915,1.065,2.939166667,0.964403596,-0.753288318,-6.021021087,-4.629008876,-4.818717982,-3.600051043,-1.692179437,1.924736974,-4.3492593,0,0.54,0.44,0.39,0.33,0.29,0.3,0.28,0.367142857,0.36,1.67,1.83,56.02,259.81,985.76
M12,CM,0.062,0.14,0.01,62.33578,15.37538,45.2144,1.746,0.7375,0.9925,1.3475,1.39875,1.4275,1.27875,1.10625,0.775,1.368333333,5.038069709,2.862090839,-1.477805267,-1.075090252,-0.832751041,-0.109819822,1.282305791,4.349814051,-0.672553705,0,0.64,0.52,0.49,0.42,0.36,0.38,0.36,0.421666667,0.45,5.94,3.03,53.7,29.36,985.76
M12,CH,0.062,0.81,0.01,278.71898,15.37538,261.5976,1.746,0.95375,0.79,1.10375,1.2575,1.37875,1.15375,0.94,0.56625,1.263333333,2.864494705,4.098846146,2.791825964,6.459732097,10.33372707,9.453156167,11.32993053,13.0950894,8.748871777,0,0.81,0.68,0.59,0.52,0.45,0.43,0.41,0.513333333,0.54,9.62,4.87,50.95,9.32,985.76
M12,FL,0.01,0.064,0.01,24.89534,2.4799,20.66944,1.746,1.5125,2.14125,3.43,2.8175,2.82375,2.52625,1.75375,1.1275,2.7225,1.240676909,-0.392921734,-6.331818868,-4.090790541,-4.592732245,-3.847598353,-1.268126161,1.442276308,-4.17704038,0,0.55,0.43,0.4,0.34,0.3,0.28,0.28,0.368571429,0.37,1.85,1.94,56.04,207.08,985.76
M12,FM,0.09,0.064,0.01,44.73454,22.3191,20.66944,1.746,1.05125,1.16125,1.54875,1.57125,1.77875,1.715,1.32625,0.935,1.688333333,2.832999081,1.098512146,-2.355232294,-1.853352637,-2.299474628,-1.595163497,0.225891465,2.611356294,-1.915996921,0,0.61,0.5,0.46,0.4,0.35,0.35,0.32,0.427142857,0.43,4.79,2.56,54.33,49.91,985.76
M12,FH,0.426,0.064,0.01,128.05918,105.64374,20.66944,1.746,1.02,1.075,1.28875,1.13125,1.06875,1.015,0.835,0.5925,1.071666667,2.906496397,1.558156115,-1.034680355,2.219215815,4.061522457,6.912745951,8.263736874,6.9196444,4.397828074,0,0.74,0.61,0.54,0.47,0.4,0.4,0.35,0.501428571,0.5,8.06,3.9,52.08,14.06,985.76
M12,WL,0.062,0.064,0.01,37.79082,15.37538,20.66944,1.746,1.38375,1.73875,2.40875,1.99,1.97625,1.72625,1.3225,0.91875,1.8975,1.502039066,-0.009506988,-4.899036041,-2.920845307,-3.037205574,-1.797107269,-0.32858743,2.750484049,-2.585052716,0,0.59,0.48,0.43,0.38,0.34,0.34,0.32,0.411428571,0.41,3.89,2.29,54.99,81.81,985.76
M12,WM,0.062,0.064,0.082,50.36202,15.37538,20.66944,14.3172,1.0675,1.3475,2.27625,1.87375,1.95125,1.735,1.31625,0.91375,1.853333333,4.196570797,1.608844811,-4.058493152,-2.715781803,-2.391373734,-1.903924505,-0.197354629,2.602080928,-2.337026681,0,0.6,0.49,0.44,0.38,0.34,0.34,0.32,0.415714286,0.42,4.17,2.41,54.62,63.45,985.76
M12,WH,0.062,0.064,0.704,158.96322,15.37538,20.66944,122.9184,0.85,0.815,1.52,1.31625,1.335,1.25875,1.0675,0.80125,1.303333333,5.258389204,4.873612261,-0.246870454,2.864366106,2.02142513,2.033459534,2.79758649,4.853939957,2.306416923,0,0.7,0.56,0.49,0.46,0.41,0.37,0.35,0.477142857,0.48,7.13,3.88,51.53,12.85,985.76
M9,CL,0.09,0.01,0.042,49.8316,28.9476,4.42,16.464,0.973,1.121,1.59,1.894,2.068,1.797,1.49,0.938,1.919666667,4.381720443,0.587055007,0.071944231,-1.929031523,-2.499504851,-1.754707892,-0.617448107,2.340928328,-2.061081422,0.66,0.57,0.49,0.43,0.38,0.36,0.34,0.34,0.415714286,0.4,3.01,1.89,56.36,259.93,1398.21
M9,CM,0.09,0.14,0.042,107.2916,28.9476,61.88,16.464,0.558,0.643,1.102,1.323,1.519,1.499,1.323,0.86,1.447,7.770840465,3.431032753,2.368299113,-0.404654557,-0.308024382,-0.7895255,0.0894341,3.116230015,-0.500734813,0.7,0.6,0.5,0.47,0.42,0.41,0.38,0.37,0.45,0.44,5.16,2.28,55.03,84.14,1398.21
